word,rounds_last_met1,words_last_met1,time_last_met1,res_last_met1,rounds_last_met2,words_last_met2,time_last_met2,res_last_met2,rounds_last_met3,words_last_met3,time_last_met3,res_last_met3,rounds_last_met4,words_last_met4,time_last_met4,res_last_met4,rounds_last_met5,words_last_met5,time_last_met5,res_last_met5,res
was,8,14,20.0,False,26,14,105.0,False,156,100,261.0,False,156,100,261.0,False,156,100,261.0,False,True
zu,26,14,100.0,False,157,100,264.0,False,157,100,264.0,False,157,100,264.0,False,157,100,264.0,False,True
zu,1,15,2.0,True,27,14,102.0,False,158,100,266.0,False,158,100,266.0,False,158,100,266.0,False,True
ich,6,14,14.0,True,7,14,15.0,True,12,14,32.0,True,15,14,55.0,True,20,14,68.0,True,True
die,56,1,234.0,False,160,100,271.0,False,160,100,271.0,False,160,100,271.0,False,160,100,271.0,False,True
es,18,14,62.0,True,19,14,63.0,True,20,14,66.0,True,46,6,201.0,True,48,6,207.0,True,True
was,6,15,21.0,True,14,15,41.0,False,32,14,126.0,False,162,100,282.0,False,162,100,282.0,False,True
ich,4,15,16.0,True,10,15,30.0,True,11,15,31.0,True,16,15,48.0,True,19,15,72.0,True,True
ist,28,15,160975.0,True,38,11,161030.0,True,40,10,161036.0,True,41,10,161046.0,True,43,10,161077.0,True,True
ich,2,15,160925.0,True,6,15,160941.0,True,12,15,160955.0,True,13,15,160956.0,True,18,15,160973.0,True,True
ich,1,15,13.0,True,3,15,160938.0,True,7,15,160954.0,True,13,15,160968.0,True,14,15,160969.0,True,True
ist,3,15,80.0,True,31,14,161055.0,True,41,11,161110.0,True,43,11,161115.0,True,44,11,161126.0,True,True
der,18,15,161478.0,True,168,100,161726.0,False,168,100,161726.0,False,168,100,161726.0,False,168,100,161726.0,False,True
was,7,15,161477.0,True,13,15,161498.0,True,21,15,161518.0,False,39,12,161602.0,False,169,100,161759.0,False,True
was,1,15,95.0,True,8,15,161572.0,True,14,15,161593.0,True,22,15,161613.0,False,40,11,161698.0,False,True
es,10,15,161642.0,True,28,15,161704.0,True,29,14,161705.0,True,30,14,161708.0,True,56,7,161843.0,True,True
es,1,15,19.0,True,11,15,161661.0,True,29,14,161723.0,True,30,14,161725.0,True,31,14,161727.0,True,True
das,18,15,161760.0,True,19,15,161762.0,True,24,15,161774.0,True,66,4,161966.0,True,173,100,162018.0,False,True
der,6,15,363.0,True,24,15,161841.0,True,174,100,162089.0,False,174,100,162089.0,False,174,100,162089.0,False,True
zu,17,15,161869.0,True,18,15,161871.0,True,44,11,161972.0,False,175,100,162136.0,False,175,100,162136.0,False,False
ein,42,11,161997.0,True,176,100,162179.0,False,176,100,162179.0,False,176,100,162179.0,False,176,100,162179.0,False,True
zu,2,15,79.0,False,19,15,161948.0,True,20,15,161950.0,True,46,9,162050.0,False,177,100,162214.0,False,False
sie,49,10,162072.0,True,56,9,162116.0,True,68,6,162165.0,True,178,100,162224.0,False,178,100,162224.0,False,True
was,9,15,387.0,True,10,15,482.0,True,17,15,161959.0,True,23,15,161980.0,True,31,14,162000.0,False,True
ein,4,15,63.0,True,46,11,162060.0,True,180,100,162243.0,False,180,100,162243.0,False,180,100,162243.0,False,True
ich,15,15,1024.0,True,16,15,1036.0,True,18,15,161962.0,True,22,15,161978.0,True,28,15,161992.0,True,True
was,3,15,11.0,True,12,15,398.0,True,13,15,493.0,True,20,15,161970.0,True,26,15,161991.0,True,True
ich,2,15,12.0,True,17,15,1035.0,True,18,15,1048.0,True,20,15,161973.0,True,24,15,161989.0,True,True
sie,6,15,35.0,True,55,10,162107.0,True,62,9,162151.0,True,74,5,162200.0,True,184,100,162259.0,False,True
ich,2,15,3.0,True,4,15,15.0,True,19,15,1039.0,True,20,15,1052.0,True,22,15,161977.0,True,True
der,12,15,175.0,True,18,15,539.0,True,36,15,162016.0,True,186,100,162264.0,False,186,100,162264.0,False,True
du,36,15,162342.0,True,60,9,162456.0,True,68,8,162510.0,True,81,3,162543.0,True,187,100,162593.0,False,True
der,2,15,344.0,True,14,15,519.0,True,20,15,882.0,True,38,14,162360.0,True,188,100,162608.0,False,True
ich,4,15,349.0,True,6,15,352.0,True,8,15,364.0,True,23,15,1388.0,True,24,15,1401.0,True,True
ist,23,15,1374.0,True,26,15,1454.0,True,54,11,162428.0,True,64,10,162484.0,True,66,10,162489.0,True,True
ist,1,15,214.0,True,24,15,1588.0,True,27,15,1668.0,True,55,11,162643.0,True,65,10,162698.0,True,True
