word,rounds_last_met1,words_last_met1,time_last_met1,res_last_met1,rounds_last_met2,words_last_met2,time_last_met2,res_last_met2,rounds_last_met3,words_last_met3,time_last_met3,res_last_met3,rounds_last_met4,words_last_met4,time_last_met4,res_last_met4,rounds_last_met5,words_last_met5,time_last_met5,res_last_met5,res
von,156,100,464.0,False,156,100,464.0,False,156,100,464.0,False,156,100,464.0,False,156,100,464.0,False,False
mich,157,100,487.0,False,157,100,487.0,False,157,100,487.0,False,157,100,487.0,False,157,100,487.0,False,False
mich,1,25,4.0,False,158,100,491.0,False,158,100,491.0,False,158,100,491.0,False,158,100,491.0,False,True
von,3,26,29.0,False,159,100,493.0,False,159,100,493.0,False,159,100,493.0,False,159,100,493.0,False,False
aber,160,100,501.0,False,160,100,501.0,False,160,100,501.0,False,160,100,501.0,False,160,100,501.0,False,False
hier,161,100,506.0,False,161,100,506.0,False,161,100,506.0,False,161,100,506.0,False,161,100,506.0,False,False
auf,162,100,512.0,False,162,100,512.0,False,162,100,512.0,False,162,100,512.0,False,162,100,512.0,False,False
auf,1,28,5.0,False,163,100,517.0,False,163,100,517.0,False,163,100,517.0,False,163,100,517.0,False,True
sind,164,100,519.0,False,164,100,519.0,False,164,100,519.0,False,164,100,519.0,False,164,100,519.0,False,False
von,6,29,31.0,False,9,28,60.0,False,165,100,524.0,False,165,100,524.0,False,165,100,524.0,False,True
ja,26,24,176.0,True,166,100,527.0,False,166,100,527.0,False,166,100,527.0,False,166,100,527.0,False,True
sie,42,18,246.0,True,56,6,423.0,True,58,5,427.0,True,167,100,531.0,False,167,100,531.0,False,True
aber,8,29,44.0,False,168,100,545.0,False,168,100,545.0,False,168,100,545.0,False,168,100,545.0,False,False
aber,1,30,4.0,False,9,29,48.0,False,169,100,549.0,False,169,100,549.0,False,169,100,549.0,False,True
ja,4,30,26.0,True,30,24,201.0,True,170,100,552.0,False,170,100,552.0,False,170,100,552.0,False,True
für,17,28,103.0,False,20,26,128.0,False,171,100,558.0,False,171,100,558.0,False,171,100,558.0,False,False
für,1,30,3.0,False,18,28,106.0,False,21,26,131.0,False,172,100,561.0,False,172,100,561.0,False,True
hier,12,29,57.0,False,173,100,563.0,False,173,100,563.0,False,173,100,563.0,False,173,100,563.0,False,True
die,66,4,464.0,True,174,100,566.0,False,174,100,566.0,False,174,100,566.0,False,174,100,566.0,False,True
sind,11,29,52.0,False,175,100,571.0,False,175,100,571.0,False,175,100,571.0,False,175,100,571.0,False,True
mir,43,20,258.0,True,44,19,260.0,False,45,18,261.0,False,46,17,263.0,False,48,15,278.0,False,False
mir,1,30,4.0,False,44,19,262.0,True,45,18,264.0,False,46,17,265.0,False,47,16,268.0,False,True
es,33,25,212.0,True,60,10,449.0,True,178,100,586.0,False,178,100,586.0,False,178,100,586.0,False,False
mit,35,25,352.0,True,40,23,377.0,True,41,22,382.0,False,179,100,724.0,False,179,100,724.0,False,False
mich,22,27,292.0,True,23,26,296.0,False,180,100,783.0,False,180,100,783.0,False,180,100,783.0,False,True
mir,4,30,207.0,True,5,30,211.0,False,48,18,470.0,True,49,17,471.0,False,50,16,472.0,False,False
es,4,30,215.0,False,37,23,427.0,True,64,12,665.0,True,182,100,802.0,False,182,100,802.0,False,True
er,34,25,412.0,True,48,18,476.0,True,49,17,480.0,False,183,100,805.0,False,183,100,805.0,False,True
der,69,9,695.0,True,74,5,709.0,True,184,100,815.0,False,184,100,815.0,False,184,100,815.0,False,False
das,62,14,580.0,True,63,13,583.0,True,69,10,694.0,True,185,100,818.0,False,185,100,818.0,False,True
mit,7,30,98.0,False,42,23,450.0,True,47,20,475.0,True,48,19,480.0,False,186,100,822.0,False,False
der,3,30,12.0,False,72,10,707.0,True,77,7,721.0,True,187,100,827.0,False,187,100,827.0,False,True
der,1,30,2.0,True,4,30,14.0,False,73,9,708.0,True,78,7,723.0,True,188,100,829.0,False,True
der,1,30,3.0,True,2,30,4.0,True,5,30,16.0,False,74,8,711.0,True,79,7,725.0,True,True
der,1,30,5.0,True,2,30,7.0,True,3,30,9.0,True,6,30,21.0,False,75,7,716.0,True,True
für,19,29,282.0,True,20,28,285.0,False,37,25,387.0,False,40,25,413.0,False,191,100,843.0,False,False
hier,19,29,285.0,True,31,27,342.0,False,192,100,848.0,False,192,100,848.0,False,192,100,848.0,False,True
der,3,30,14.0,True,4,30,18.0,True,5,30,21.0,True,6,30,22.0,True,9,30,34.0,False,True
haben,41,24,406.0,True,194,100,852.0,False,194,100,852.0,False,194,100,852.0,False,194,100,852.0,False,False
er,12,30,50.0,True,46,22,462.0,True,60,16,527.0,True,61,16,530.0,False,195,100,856.0,False,True
